,S_KP,S_KI,S_KD,T_KP,T_KI,T_KD,loss_T,loss_S
0,0.0,0.0,0.0,0.0,0.0,0.0,0.09978143624785307,3.062387811715173e-09
1,0.0,0.0,0.0,0.0,0.0,0.1,0.0937134554329954,3.062387811715173e-09
2,0.0,0.0,0.0,0.0,0.0,0.2,0.09295979147757932,3.062387811715173e-09
3,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.09650583038711028,3.062387811715173e-09
4,0.0,0.0,0.0,0.0,0.0,0.4,0.09789037526817759,3.062387811715173e-09
5,0.0,0.0,0.0,0.0,0.0,0.5,0.0975257452809877,3.062387811715173e-09
6,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0.0971995429266761,3.062387811715173e-09
7,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.09687545839224926,3.062387811715173e-09
8,0.0,0.0,0.0,0.0,0.0,0.8,0.09632026360133983,3.062387811715173e-09
9,0.0,0.0,0.0,0.0,0.0,0.9,0.09575826753418078,3.062387811715173e-09
10,0.0,0.0,0.0,0.0,0.1,0.0,0.01455121544280266,3.062387811715173e-09
11,0.0,0.0,0.0,0.0,0.1,0.1,0.013134125278433119,3.062387811715173e-09
12,0.0,0.0,0.0,0.0,0.1,0.2,0.01014052538725392,3.062387811715173e-09
13,0.0,0.0,0.0,0.0,0.1,0.30000000000000004,0.010513091841732117,3.062387811715173e-09
14,0.0,0.0,0.0,0.0,0.1,0.4,0.01433946927225228,3.062387811715173e-09
15,0.0,0.0,0.0,0.0,0.1,0.5,0.017915576913216,3.062387811715173e-09
16,0.0,0.0,0.0,0.0,0.1,0.6000000000000001,0.019542788154029225,3.062387811715173e-09
17,0.0,0.0,0.0,0.0,0.1,0.7000000000000001,0.020621787882939772,3.062387811715173e-09
18,0.0,0.0,0.0,0.0,0.1,0.8,0.02150440971627305,3.062387811715173e-09
19,0.0,0.0,0.0,0.0,0.1,0.9,0.02218916421176153,3.062387811715173e-09
20,0.0,0.0,0.0,0.0,0.2,0.0,0.023313908708696558,3.062387811715173e-09
21,0.0,0.0,0.0,0.0,0.2,0.1,0.022908621387043065,3.062387811715173e-09
22,0.0,0.0,0.0,0.0,0.2,0.2,0.02154881978359103,3.062387811715173e-09
23,0.0,0.0,0.0,0.0,0.2,0.30000000000000004,0.020614363934022637,3.062387811715173e-09
24,0.0,0.0,0.0,0.0,0.2,0.4,0.021352383242900813,3.062387811715173e-09
25,0.0,0.0,0.0,0.0,0.2,0.5,0.02407300021765946,3.062387811715173e-09
26,0.0,0.0,0.0,0.0,0.2,0.6000000000000001,0.027943842118140532,3.062387811715173e-09
27,0.0,0.0,0.0,0.0,0.2,0.7000000000000001,0.03064310987080226,3.062387811715173e-09
28,0.0,0.0,0.0,0.0,0.2,0.8,0.03218510348287264,3.062387811715173e-09
29,0.0,0.0,0.0,0.0,0.2,0.9,0.03339433802563776,3.062387811715173e-09
30,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.12606952583543873,3.062387811715173e-09
31,0.0,0.0,0.0,0.0,0.30000000000000004,0.1,0.12602892725285714,3.062387811715173e-09
32,0.0,0.0,0.0,0.0,0.30000000000000004,0.2,0.1255728801593375,3.062387811715173e-09
33,0.0,0.0,0.0,0.0,0.30000000000000004,0.30000000000000004,0.12502552957345622,3.062387811715173e-09
