Wall time,Step,Value
1688116742.709374,0,0.28210118412971497
1688117093.1295662,1,0.03450328856706619
1688117436.4599268,2,0.023514578118920326
1688117784.087612,3,0.02068299800157547
1688118117.241228,4,0.01688678003847599
1688118445.6433907,5,0.014989061281085014
1688118785.395817,6,0.01468014344573021
1688119122.64625,7,0.013552520424127579
1688119460.0422432,8,0.013065487146377563
1688119788.9285703,9,0.011169515550136566
1688120131.240734,10,0.010027622804045677
1688120469.1949008,11,0.008732113055884838
1688120818.572183,12,0.00857086293399334
1688121171.1550624,13,0.008459659293293953
1688121501.9973037,14,0.00832687970250845
1688121843.1248634,15,0.008176196366548538
1688122186.738101,16,0.008203666657209396
1688122534.8585265,17,0.00657255481928587
1688122878.9328659,18,0.0061251018196344376
1688123228.143863,19,0.006018556654453278
1688123588.082606,20,0.005978858098387718
1688123954.807166,21,0.0059694950468838215
1688124325.3903108,22,0.005891493055969477
1688124689.9087417,23,0.005855658557265997
1688125045.6717324,24,0.005599599797278643
1688125398.163875,25,0.003922093193978071
1688125744.7434938,26,0.0038683137390762568
1688126435.5011632,28,0.003726249560713768
1688126792.835358,29,0.0036778999492526054
1688127152.3978887,30,0.003634967841207981
1688127497.3038516,31,0.003641245188191533
1688127847.7384677,32,0.0036163227632641792
1688128208.8305118,33,0.0035323684569448233
1688128562.0188022,34,0.0035529693122953176
1688128909.1589727,35,0.003543892642483115
1688129255.9405167,36,0.0034752716310322285
1688129601.1051235,37,0.0034891334362328053
1688129954.9776773,38,0.003432437777519226
1688130303.3078582,39,0.003417840925976634
1688130658.8053136,40,0.0034310149494558573
1688131010.702728,41,0.0034109705593436956
1688131362.2557151,42,0.0033861850388348103
1688131720.9774542,43,0.0029289950616657734
1688132063.1230407,44,0.002355658682063222
1688132406.4812531,45,0.0023501585237681866
1688132761.488835,46,0.0023286149371415377
1688133113.2271175,47,0.0023176823742687702
1688133458.0365865,48,0.002266816096380353
1688133808.724381,49,0.0022778420243412256
1688134165.9233415,50,0.0022601475939154625
1688134511.740268,51,0.0022453765850514174
1688134853.3383765,52,0.002199342008680105
1688135204.4052958,53,0.0022307310719043016
1688135548.195825,54,0.002213384723290801
1688135899.857665,55,0.002184830605983734
1688136247.6008472,56,0.0021911091171205044
1688136594.043726,57,0.0021413485519587994
1688136934.154154,58,0.002145205158740282
1688137298.7257605,59,0.0021454880479723215
1688137659.9339643,60,0.0021202166099101305
1688138007.9329937,61,0.0021146705839782953
1688138351.5778558,62,0.002136004390195012
1688138703.1465938,63,0.002075680298730731
1688139074.6204066,64,0.002076635602861643
1688139421.4313865,65,0.0020861313678324223
1688139766.859549,66,0.0020802761428058147
1688140115.5429711,67,0.0020745054353028536
1688140477.9712172,68,0.0020811560098081827
1688140835.923958,69,0.0020145440939813852
1688141192.0448325,70,0.0020433487370610237
1688141534.2455273,71,0.002013587160035968
1688141903.702703,72,0.0020412649028003216
1688142286.2228472,73,0.002021962311118841
1688142623.3678706,74,0.0020298983436077833
